gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
325735,0,Strong Performers,0,Mid,1,Growing,HELLOFRESH SE,Consistent,✓
326410,0,Strong Performers,3,Upper-Mid,0,Growing,1&1 AG,Improving,⭐
326577,0,Strong Performers,0,Mid,0,Growing,DERMAPHARM HOLDING,Consistent,✓
326765,0,Strong Performers,0,Mid,4,Growing,SIEMENS HEALTHINEE,Declining,⚠
327148,0,Strong Performers,2,High Performers,3,Declining (Volatile),SPRINGER NATURE AG,Consistent,✓
328745,0,Strong Performers,0,Mid,4,Growing,KNORR-BREMSE AKTIE,Declining,⚠
329260,0,Strong Performers,2,High Performers,0,Growing,ENCAVIS AG,Improving,⭐
332311,2,Upper-Mid,0,Mid,2,Growing,TRATON SE,Declining,⚠
333885,5,Top Tier,2,High Performers,0,Growing,TEAMVIEWER SE,Improving,⭐
340115,2,Upper-Mid,0,Mid,0,Growing,HENSOLDT AG,Consistent,✓
340153,4,Mid,0,Mid,0,Growing,SIEMENS ENERGY AG,Volatile,⚠
346413,2,Upper-Mid,0,Mid,0,Growing,AUTO1 GROUP SE,Consistent,✓
347562,0,Strong Performers,0,Mid,0,Growing,SYNLAB AG,Consistent,✓
350278,2,Upper-Mid,0,Mid,0,Growing,VITESCO TECHNOLOGIES GROUP,Consistent,✓
351590,2,Upper-Mid,0,Mid,2,Growing,DAIMLER TRUCK HOLDING AG,Declining,⚠
354519,0,Strong Performers,0,Mid,2,Growing,DR ING  H C F PORSCHE AG,Declining,⚠
355804,5,Top Tier,2,High Performers,0,Growing,IONOS GROUP SE,Improving,⭐
358679,0,Strong Performers,0,Mid,4,Growing,SCHOTT PHARMA AG & CO KGAA,Declining,⚠
360887,2,Upper-Mid,2,High Performers,0,Growing,DOUGLAS AG,Improving,⭐
