xsga,loc,revt,at,ib,naics,oibdp,invt,gsubind,seq,isin,che,gsector,cogs,rect,sic,ggroup,conm,dltt,ppent,gvkey,dp,gind,oancf,ceq,ebit,lt,fyear,act,sale,ebitda,datadate,emp,dlc,lct,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
7055.0,DEU,81715.0,111361.0,4531.0,2211.0,12321.0,1243.0,55103010.0,17841.0,DE000ENAG999,7280.0,55.0,59248.0,11493.0,9997.0,5510.0,E.ON SE,34100.0,42320.0,100590,3509.0,551030.0,5673.0,17841.0,8812.0,87195.0,2024.0,26054.0,81715.0,12321.0,2024-12-31,69.668,4964.0,29977.0,7.913003654780399,25.396558488873943,10.783821819739337,15.078015052315976,5.544881600685309,0.8691330019681756,0.8276678787070088,0.24285285385462188,1.9113278403676923,2.1895633652822153,16.020869065471754,78.29940463896696,0.7337847181688383,1172.920135499799,7.109979987818672,51.3362907666891,-14.00231530204168,-1.8897679417828162,6.339006334427233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
3850.0,DEU,39719.0,36966.0,1168.0,3363.0,4364.0,6113.0,25101020.0,14351.0,DE0005439004,2966.0,25.0,28796.0,8142.0,3714.0,2510.0,CONTINENTAL AG,4112.0,9942.0,100609,2122.0,251010.0,2934.0,14351.0,2242.0,22168.0,2024.0,17950.0,39719.0,4364.0,2024-12-31,168.761,2768.0,14269.0,6.065032732781475,8.138805658142289,5.644653692187617,10.98718497444548,2.9406581233162967,1.257971827037634,0.829560585885486,0.2078631999439344,0.2865305553619957,0.47940910041112117,38.822160904615046,59.96861981280095,1.0744738408267056,235.35651009415682,4.878285433554409,74.82137012512904,-4.1078692917758115,-2.0840838295437814,-16.76933168280209,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
995.0,DEU,23167.3,17416.7,507.1,561510.0,1727.6,66.4,25301020.0,956.4,DE000TUAG505,2901.6,25.0,20445.6,790.4,4700.0,2530.0,TUI AG,3601.0,6027.8,100676,854.7,253010.0,1910.8,956.4,872.9,15642.4,2024.0,5268.8,23167.3,1727.6,2024-09-30,52.139,941.2,10029.3,5.011856436638398,53.02174822250105,3.7678106641688935,7.457062324914858,2.1888610239432307,0.5253407515978185,0.5187201499606154,0.28931231491729237,3.7651610204935175,4.74926808866583,5.491281356399318,89.81265107626588,1.3301773585122325,444.337252344694,29.310855263157894,12.45272431401156,12.103997406355393,7.827319779104047,-5.11037909258012,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,11,True,1,High Performers
187.4,DEU,3653.1,9353.5,-66.8,32531.0,477.6,678.3,15101030.0,6212.3,DE000KSAG888,524.1,15.0,2824.3,804.8,2870.0,1510.0,K&S AG,683.4,6060.5,100736,521.2,151010.0,590.8,6212.3,-43.6,3137.2,2024.0,2145.2,3653.1,477.6,2024-12-31,10.835,62.5,709.8,-0.4661356711391458,-1.075286125911498,-1.1935068845637953,13.07382770797405,-1.8285839424050807,3.0222597914905607,2.066638489715413,0.7383770076077769,0.11000756563591584,0.12006825169421953,66.41684930774576,33.54038595178275,0.3905596835409205,337.15736040609136,4.539140159045726,80.41170512715229,-5.668026648763103,-1.2698178133378257,-5.346378963920662,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Mid
31349.0,DEU,324656.0,632905.0,11351.0,336110.0,45843.0,56720.0,25102010.0,182294.0,DE0007664039,67622.0,25.0,189658.0,111640.0,3711.0,2510.0,VOLKSWAGEN AG,137061.0,144645.0,100737,12440.0,251020.0,17151.0,182294.0,33403.0,436174.0,2024.0,245231.0,324656.0,45843.0,2024-12-31,679.472,117020.0,217039.0,5.277727305045781,6.2267545832556195,10.288736385589669,14.120484451234539,3.496316100734316,1.1298937057395215,0.8685581853952515,0.3115661240606527,0.7518678618056546,1.393797930815057,28.802742907703365,68.91618805349934,0.5129616609127752,477.80629665387244,2.908061626657112,125.5131585431965,0.735996822678131,5.424777375411849,-0.6656189466759277,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
3923.0,DEU,22442.0,10135.0,76.0,452311.0,881.0,3114.0,25504020.0,516.0,DE0007257503,1010.0,25.0,17833.0,2135.0,5399.0,2550.0,CECONOMY AG,2095.0,2219.0,100746,648.0,255040.0,838.0,516.0,233.0,9620.0,2024.0,6455.0,22442.0,881.0,2024-09-30,40.99,535.0,7072.0,2.2989639861864823,14.728682170542637,1.0382318866411193,3.9256750735228585,0.33865074414045093,0.9127545248868778,0.4724264705882353,0.14281674208144796,4.060077519379845,5.096899224806202,5.091267883571781,94.9185989146522,2.2143068574247655,547.4993900951451,10.511475409836066,34.72395508421709,0.8991997122560935,5.1894135962636145,-0.9065635198839628,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,11,True,1,High Performers
1304.0,DEU,9694.0,9496.0,-78.0,311314.0,691.0,2843.0,30202030.0,3271.0,DE0007297004,781.0,30.0,6835.0,1258.0,2060.0,3020.0,SUEDZUCKER AG,1496.0,3397.0,100764,374.0,302020.0,906.0,3271.0,317.0,5470.0,2024.0,5027.0,9694.0,691.0,2025-02-28,,902.0,2777.0,3.3382476832350463,-2.3845918679302964,3.2700639570868577,7.128120486899113,-0.8046214153084381,1.8102268635217862,0.7864602088584803,0.28123874684911776,0.45735249159278507,0.7331091409354937,34.44608256107835,57.60320134793597,1.0208508845829822,,7.705882352941177,47.36641221374046,-5.782874914957725,-7.6084841408834425,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,True,2,Lower-Mid
2983.0,DEU,24224.0,98440.0,5135.0,221122.0,8686.0,2560.0,55105010.0,31549.0,DE0007037129,11941.0,55.0,15916.0,7911.0,4911.0,5510.0,RWE AKTIENGESELLSCHAFT,14772.0,37447.0,100953,1895.0,551050.0,6620.0,31549.0,6791.0,64817.0,2024.0,35022.0,24224.0,8686.0,2024-12-31,20.985,3898.0,27575.0,6.898618447785452,16.276268661447272,28.03418097754293,35.85700132100396,21.197985468956407,1.2700634632819583,1.1772257479601087,0.4330371713508613,0.46822403245744715,0.5917778693460966,32.04896383583909,65.84416903697684,0.2460788297440065,1154.3483440552777,3.062065478447731,119.20058619550859,-15.199887978715953,-7.562867391590133,4.221504842314361,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Upper-Mid
290.5,DEU,3112.1,6851.5,99.6,511110.0,516.9,26.5,50201040.0,2127.6,DE0005501357,286.1,50.0,1830.3,897.1,2711.0,5020.0,AXEL SPRINGER SE,2102.9,548.6,101059,291.3,502010.0,465.5,2127.6,225.6,4368.5,2019.0,1300.6,3112.1,516.9,2019-12-31,16.12,136.2,1487.6,3.2927096256294237,4.681331077270164,7.249124385463192,16.609363452331223,3.200411297837473,0.8742941650981446,0.8564802366227481,0.19232320516267817,0.9883906749388984,1.0524064673810867,31.053054075749838,63.759760636357,0.45422170327665473,193.05831265508684,3.469066993646193,105.21561003823786,-2.1567579463640074,5.749344034573234,-1.4067278287461793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,0,Upper-Mid
4148.0,DEU,69865.0,73447.0,6260.0,336111.0,6281.0,7966.0,25102010.0,33839.0,DE0006757008,13436.0,25.0,58576.0,5598.0,3711.0,2510.0,AUDI AG,0.0,0.0,101120,0.0,251020.0,11135.0,33839.0,6281.0,39608.0,2023.0,38217.0,69865.0,6281.0,2023-12-31,87.736,0.0,24380.0,8.55174479556687,18.499364638434944,8.99019537679811,8.99019537679811,8.960137407858012,1.5675553732567677,1.2408121410992616,0.5511074651353568,0.0,0.0,46.07267825779133,53.92732174220867,0.9512301387394992,796.3093826935351,12.480350125044659,29.245974379159808,13.136203909121825,3.7211207140032787,-0.2954679758170764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,True,0,Upper-Mid
