gvkey,company_name,cluster,proximity_score,trends_score,relative_score,overall_score
100737,VOLKSWAGEN AG,3,15.629718670457368,97.53579405762561,49.31994609668467,6.2518874681829475
100746,CECONOMY AG,1,10.206483151227562,92.65113606206702,49.81350681795239,4.082593260491025
100764,SUEDZUCKER AG,2,33.6906002892642,92.89741526800753,48.142610845858094,13.476240115705679
100953,RWE AKTIENGESELLSCHAFT,2,20.223816958500226,64.3455413067798,51.51847686067514,8.08952678340009
101059,AXEL SPRINGER SE,2,32.65609603516838,93.10628199726692,45.605356943962626,13.062438414067353
101120,AUDI AG,2,28.287119777605792,48.79265400355336,49.21711459884298,11.314847911042317
101148,LECHWERKE AG,1,23.86459168262868,99.4114637821308,46.867938792786354,9.545836673051474
101161,GELSENWASSER AG,1,26.42948936906599,97.63073274957226,49.11516223145378,10.571795747626396
101286,LEONI AG,2,30.68455143852875,90.58718694604812,49.282447063382854,12.2738205754115
101390,KSB SE & CO KGAA,1,43.89838343935512,99.23277742004026,49.49176274317278,17.55935337574205
101768,MCKESSON EUROPE AG,1,18.929816232565877,97.61877627158955,46.101023828601555,7.571926493026351
101937,DMG MORI AG,2,33.17119243898101,93.99796473526236,45.484771180231924,13.268476975592405
101942,HENKEL AG & CO KGAA,1,31.61368257559875,97.13866434909116,49.89790747475137,12.6454730302395
102175,PUMA SE,1,23.651733398372492,96.11134588723715,52.08148445497971,9.460693359348998
102187,PORSCHE AUTOMOBIL HOLDING SE,1,0.02400645377604867,79.58621758078137,57.6474272630895,0.00960258151041947
102218,DRAEGERWERK AG,2,37.60884050893325,93.24948674106422,46.44824264936158,15.0435362035733
102250,HUGO BOSS AG,1,23.985205257714973,99.61887734674184,48.27649385742182,9.59408210308599
102259,SALZGITTER AG,2,44.92482229425717,88.12019630819107,46.953421952473214,17.96992891770287
102365,KOENIG & BAUER AG,2,31.78617041334144,92.39078076090175,48.38101145106098,12.714468165336577
102529,PAUL HARTMANN AG,1,42.67876264829617,97.20541863584405,47.57383275459145,17.07150505931847
102926,KWS SAAT SE & CO KGAA,2,49.130351298800484,93.23598787575978,48.95191605746816,19.652140519520195
103176,THYSSENKRUPP AG,2,37.07581813503573,83.86920092198149,47.149789468396506,14.830327254014293
103200,FUCHS SE,1,30.128556455915284,99.37963044857105,51.048214187432805,12.051422582366115
103255,BERTELSMANN SE & CO KGAA,2,30.386539457888702,96.7423012830966,47.98409062928895,12.154615783155482
103269,KRONES AG,2,36.726802901514084,94.76592841748541,48.51813490913486,14.690721160605634
103487,SAP SE,1,31.341982775271404,70.14304508441587,54.377027536047514,12.536793110108562
103533,SIXT SE,2,58.250910448979575,96.72082529105143,49.38234415998225,23.30036417959183
104357,KABEL DEUTSCHLAND HOLDING AG,1,17.942693791376623,93.2043961753717,50.845591574337895,7.17707751655065
104364,TELE COLUMBUS AG,1,38.395562535847944,98.32742001993533,53.21790776551593,15.358225014339178
132740,INFINEON TECHNOLOGIES AG,2,31.288257106174377,94.62159433795836,52.86943885140554,12.515302842469751
200759,BIOTEST AG,2,43.41586656999565,93.50423037558356,49.86788301827589,17.36634662799826
202305,FRESENIUS SE & CO KGAA,1,27.75227411202623,86.37034778345298,52.25962478288545,11.100909644810493
202807,JUNGHEINRICH AG,2,37.371375583445136,96.38248180038313,48.02790616032183,14.948550233378056
203162,HORNBACH HOLDING AG & CO,2,39.92958018913743,95.53680810427102,48.35315069675019,15.971832075654973
203586,VTG AG,2,32.10965041089731,95.68393059941481,51.13518608562805,12.843860164358924
204820,FIELMANN GROUP AG,1,20.749569030819508,99.88879457693346,52.525578788509236,8.299827612327803
205865,PROSIEBENSAT.1 MEDIA SE,1,29.361382241222135,92.65270102794162,50.65801445920157,11.744552896488855
205934,FREENET AG,2,39.56476291712116,93.1829012681444,48.22406577223199,15.825905166848464
206703,SGL CARBON SE,1,18.77345078748798,98.97231963565872,50.6693558435885,7.509380314995193
207096,RHOEN-KLINIKUM AG,2,49.69963025735809,93.64210089157886,47.212215060093136,19.879852102943236
208821,SARTORIUS AG,2,29.49967841374542,99.43417730718957,51.16607841307245,11.79987136549817
209440,VOSSLOH AG,2,25.446835630077047,93.78078393708742,51.839686182402914,10.17873425203082
210326,BLG-BREMER LAGERHAUS-GESELLS,2,30.299935094695453,93.54005473943467,59.025350473698815,12.119974037878182
210332,CLAAS KG,2,56.25387523500228,95.8766821790972,48.97684214614577,22.501550094000915
210334,COMPUGROUP MEDICAL SE & CO,2,30.319843490869186,93.92269264146424,51.044174688632175,12.127937396347676
210340,DILLINGER HUTTENWERKE,2,46.742573485454045,93.85353145278003,49.503732548393906,18.69702939418162
210359,EWE-ENERGIEVERSORGUNG WESER,2,39.078356215984996,87.97673778940158,47.21071998588491,15.631342486393999
212782,FRESENIUS MEDICAL CARE AG,1,36.7168175402463,87.7946801147605,51.27219513988814,14.686727016098523
213034,GRAMMER AG,1,39.81359702874926,97.79743016928363,47.090291574127896,15.925438811499703
213037,INDUS HOLDING AG,2,53.83289352169579,93.23467024517248,48.335648960391254,21.533157408678317
