gvkey,conm,cluster,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
104357,KABEL DEUTSCHLAND HOLDING AG,4,14.144739505682228,19.919103222675226,76.44325937347072,37.3077480308498,67.68709405735774,88.18261731253142,48.05385945908698,13.372491249892917
104364,TELE COLUMBUS AG,1,99.99998967617321,99.99999578531524,100.0,100.0,100.0,100.0,50.0,69.99999502753234
132740,INFINEON TECHNOLOGIES AG,5,55.84325826785875,66.87304330495559,98.2457743127908,95.20959047093356,79.0772777047713,93.93318181382035,51.70705119394832,45.23287101522797
200759,BIOTEST AG,5,25.942407223048953,59.97534443863578,30.90164110281533,90.64243107129329,85.0890534215097,98.30368327280323,53.478325937070736,31.43627488407607
202305,FRESENIUS SE & CO KGAA,0,66.67201188571804,86.27253448277939,92.61099997778534,92.2381264284671,86.37285441556489,88.28650676404756,47.26845189076867,53.1471242936898
202807,JUNGHEINRICH AG,0,78.15753636215476,87.48169985135297,98.17631304184921,97.21498287902986,82.92491205928066,93.1381669569467,51.81793214300982,58.48085280303549
203162,HORNBACH HOLDING AG & CO,0,76.12704496270119,78.82147501375384,99.13693794936401,93.89690263403516,98.93500100884822,89.17998585719414,49.53553766710292,55.60480325123476
203586,VTG AG,4,37.36439399842465,46.904092616765666,96.15776401870558,61.885330963573914,95.06772355713792,81.50364751685015,47.996955451396616,30.51510921908039
204820,FIELMANN GROUP AG,5,30.496107171346114,49.897365204825824,64.14645348809665,99.09342057371275,82.54998802413971,98.81315718229092,50.449233738405006,32.08725796687489
205865,PROSIEBENSAT.1 MEDIA SE,5,43.037608251166795,72.03780517329719,70.35242050936135,86.3133144202679,56.74642077775777,87.26400282326343,53.23716908855614,40.25393577715295
205934,FREENET AG,4,39.28876794288427,47.18925445359815,94.61449675012817,85.07872032563697,75.70395365781147,84.59597501729498,44.26446316044596,33.66123010043704
206703,SGL CARBON SE,0,54.86786735170771,81.48711303526423,62.298947364886494,90.57018459752912,98.18505914721327,89.51906668540411,49.591810537091966,47.301588007488846
207096,RHOEN-KLINIKUM AG,0,36.507005895661266,39.211623310741004,75.85326604921994,85.70782907193048,97.19796038781232,83.05678904445394,43.923797090576066,31.015909927605755
208821,SARTORIUS AG,5,61.072912493365706,70.56883290192677,86.61886318332027,86.32061020813126,76.57891245104844,91.379924051936,52.61721205823096,47.17499259854476
209440,VOSSLOH AG,0,67.81668336097778,90.14343509899714,93.57490402575992,87.71148500882738,87.30485762271081,87.10670579129113,51.912596779040165,53.92650886507328
210326,BLG-BREMER LAGERHAUS-GESELLS,0,0.289467870436174,65.26163558046257,96.33238421136375,1.8518933504609716,76.00754588351508,1.4423179612020949,66.03948484151897,13.35330359931308
210332,CLAAS KG,0,67.1053747051196,79.481007770562,77.87417487514598,88.86249072365646,90.4813441140423,88.12456636570015,52.629355757257414,51.62460050852589
210334,COMPUGROUP MEDICAL SE & CO,0,69.94801851165606,89.29826702583581,89.9572047664784,96.70371764404034,81.13958673519261,93.91262471114722,48.9735263891958,55.50923257423362
210340,DILLINGER HUTTENWERKE,0,59.202540171801,92.41135653098421,70.65928962855331,85.04457019377826,84.25161719513812,84.85114013008159,52.707974577226565,50.66774439429507
210359,EWE-ENERGIEVERSORGUNG WESER,0,51.00614873598849,52.35297360394961,90.994239836735,93.95319532470901,86.70260019815994,98.89620240824179,56.85108179707883,40.26837374765622
212782,FRESENIUS MEDICAL CARE AG,0,66.71315913226759,89.09484690838177,97.10783920508615,93.9567741439735,81.29212481960903,88.79077679171881,48.15466776407743,53.89991044898075
213034,GRAMMER AG,2,53.2133387784992,65.14461516506542,80.50718626008522,72.91768369544583,96.51819667031577,78.17847128530599,53.76215335649148,41.60602691395735
213037,INDUS HOLDING AG,5,77.89072622742414,83.47996292682389,92.95603875841627,96.90826046094269,89.81459543262882,99.1505323140921,48.44201316145939,57.5431091224287
214700,STADA ARZNEIMITTEL AG,4,62.98825609831371,77.42102835240235,99.95080271810967,96.82039425775486,72.7873690803015,97.05784581574055,48.109148050971235,50.361547535581444
