company_name,static_score,dynamic_score,combined_score,score_change_static_to_dynamic,score_change_static_to_combined,total_score_change,abs_total_change,pattern
SMA SOLAR TECHNOLOGY AG,35.642921741718794,37.51727830077299,41.13204108399577,1.874356559054199,5.489119342276979,5.489119342276979,5.489119342276979,Mixed
HENKEL AG & CO KGAA,38.089282820338106,31.61368257559875,73.86149007005713,-6.475600244739354,35.772207249719024,35.772207249719024,35.772207249719024,Improving Trend
BIOTEST AG,27.669407505658572,43.41586656999565,25.942407223048953,15.746459064337078,-1.7270002826096196,-1.7270002826096196,1.7270002826096196,Challenged
JUNGHEINRICH AG,80.5877382974495,37.371375583445136,78.15753636215476,-43.21636271400437,-2.430201935294747,-2.430201935294747,2.430201935294747,Eroding Position
BECHTLE AG,34.5704192676788,27.852494665744587,62.23915562855385,-6.7179246019342145,27.66873636087505,27.66873636087505,27.66873636087505,Improving Trend
ADIDAS AG,50.33435875847313,39.353093580521765,68.84598549045661,-10.981265177951364,18.511626731983483,18.511626731983483,18.511626731983483,Mixed
TEAMVIEWER SE,12.93095802500476,11.283465919299715,15.543526173607686,-1.6474921057050445,2.612568148602927,2.612568148602927,2.612568148602927,Challenged
SAP SE,28.224029602147084,31.341982775271404,45.00233183703335,3.11795317312432,16.77830223488627,16.77830223488627,16.77830223488627,Mixed
FRESENIUS SE & CO KGAA,58.96156804142949,27.75227411202623,66.67201188571804,-31.209293929403255,7.710443844288548,7.710443844288548,7.710443844288548,Mixed
CANCOM SE,50.14976067105017,30.66890387197571,55.590904025239276,-19.480856799074456,5.4411433541891085,5.4411433541891085,5.4411433541891085,Mixed
VITESCO TECHNOLOGIES GROUP,61.23236870752049,18.819370214184676,57.78805031122845,-42.41299849333582,-3.44431839629204,-3.44431839629204,3.44431839629204,Mixed
HAPAG-LLOYD AG,39.730224392561006,6.721831604796816,26.07313812794131,-33.00839278776419,-13.657086264619696,-13.657086264619696,13.657086264619696,Challenged
FRAPORT AG,24.733314140947826,38.724716226397184,60.299637357279536,13.991402085449359,35.56632321633171,35.56632321633171,35.56632321633171,Improving Trend
RWE AKTIENGESELLSCHAFT,27.553808858961958,20.223816958500226,39.67800596892574,-7.3299919004617315,12.12419710996378,12.12419710996378,12.12419710996378,Challenged
UNIPER SE,35.09012318075852,0.14650166057722513,26.23367602990622,-34.943621520181296,-8.856447150852297,-8.856447150852297,8.856447150852297,Challenged
KUKA AG,53.05129196071328,47.15743199906546,63.40804332080948,-5.89385996164782,10.356751360096204,10.356751360096204,10.356751360096204,Mixed
HELLOFRESH SE,0.16348490115622835,1.4167929043318268,1.4819387116044602,1.2533080031755985,1.318453810448232,1.318453810448232,1.318453810448232,Challenged
MORPHOSYS AG,0.49245995975075424,22.09276296969277,0.3154992012781657,21.600303009942017,-0.17696075847258852,-0.17696075847258852,0.17696075847258852,Challenged
WACKER CHEMIE AG,44.77764169206523,46.245002793592526,51.0973397347519,1.4673611015272954,6.319698042686667,6.319698042686667,6.319698042686667,Mixed
SIXT SE,20.45275852623267,58.250910448979575,36.25956377174535,37.798151922746904,15.806805245512678,15.806805245512678,15.806805245512678,Challenged
FREENET AG,38.96380052309827,39.56476291712116,39.28876794288427,0.6009623940228863,0.32496741978599886,0.32496741978599886,0.32496741978599886,Challenged
SIEMENS HEALTHINEE,64.0913215538234,36.49787632423842,64.65763851628854,-27.593445229584987,0.5663169624651374,0.5663169624651374,0.5663169624651374,Mixed
TELEFONICA DEUTSCHLAND,37.65719851659814,22.63554988502725,39.08470639654715,-15.021648631570894,1.4275078799490046,1.4275078799490046,1.4275078799490046,Challenged
SCHAEFFLER AG,49.642819631054856,35.35626695101202,51.05557333123264,-14.286552680042838,1.412753700177781,1.412753700177781,1.412753700177781,Mixed
PAUL HARTMANN AG,56.011473837945836,42.67876264829617,61.152755601782346,-13.332711189649665,5.14128176383651,5.14128176383651,5.14128176383651,Mixed
