gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,cluster_name,proximity_score,trends_score,relative_score,overall_score
101286,LEONI AG,9,-1.609428521142559,0.4392066925078742,6.270347201124659,2.825916086743666,0.010245574288206554,72.08509561390623,-1.0817639148309188,0.3797682293272281,4.532392851504088,85.58336666666666,0.3256418439590064,387.23413571171005,2.738246026454627,0.28609229806830583,0.12307600525387834,2.1055901529007994,-14.822900000000006,0.18517120465670062,88.94075734810401,0.24084931268703733,-0.40674522624360043,-0.9022187611774972,0.0769420764425376,-0.9711874925664675,0.89005525302081,-0.2384381040111669,0.022194271758837987,0.3935574762499476,-0.46159502371050365,1,Growing,32.40484297243029,95.70489966743,48.720180462894675,12.961937188972115
101390,KSB SE & CO KGAA,11,0.49095135967911474,0.6693411049499705,1.897643901016072,0.9089021466721219,0.3375409282403176,4.9471366766516445,0.4410495948978004,0.635168979838396,1.7500190953048023,66.11860909090912,0.6611164574392494,257.14893188835595,3.1047074705184308,-0.016148784720528896,0.6537568565391048,0.06315848684764931,7.9535,0.12771531561191266,70.3779795860294,-0.11867789178191465,-1.1600298463852403,1.1593200300379303,-0.20037020039263095,-0.27557476861971597,0.0005758934832995943,0.14587674843348933,-0.3806622969018275,-1.2496660537863937,-0.3703697945997413,0,Growing,36.48616075213521,92.23912136760485,50.2103214811919,14.594464300854085
101768,MCKESSON EUROPE AG,8,-0.6210729632826416,0.7340577515866491,1.660952302316648,0.1484828140766207,0.00042731390085411485,16.45819982702202,-0.19183236718778285,0.593520782858094,0.5705366821312955,-1491.709523809524,0.7100768386679761,4056.124161607359,-11.817815281051235,-0.013002417770400131,0.038117339513185126,0.1525957638036961,-3.5202380952380956,0.007806100332609985,91.29240025188297,-0.04346286759094893,-1.0892448983531968,-0.4318933107214116,0.08722114875657266,-1.7766223689989178,0.6206387985366382,-1.3247315223485088,0.4213547053929598,-0.4837791764097693,-1.3223100604960951,0,Growing,19.638434969604468,90.73820843703156,45.18645295591848,7.855373987841787
101937,DMG MORI AG,11,0.00159940605292435,7.268328986588069e-06,1.8760372052470016,0.09001494588263412,0.008502481121148263,3.0870366572228707,0.16743301524572757,0.08957054621112989,1.7691248671833462,-3.5553454545454564,0.002219358197169932,238.65366294484514,-0.04180399465473217,-0.000630535842515135,0.03436320745582994,0.010756300629053535,11.037563636363638,0.2908646714921436,64.71839420849085,0.626815600836798,-0.04550813246229288,-2.344409652400841,0.38870172754693166,-0.14728477675659973,0.18127057092198237,-0.9962192038843406,-0.7847639635113147,0.5281036537053792,0.32732599008739777,1,Growing,33.057148163723944,99.31000242767976,46.39134235102735,13.222859265489578
101942,HENKEL AG & CO KGAA,11,-0.5473890250484145,0.7328551278800158,2.022027325018474,-0.8900168753756615,0.7182492289534603,3.3209371542503607,-0.48889910488203714,0.4629066347167239,2.2723359500604876,454.2181818181818,0.7859325624624647,1620.2121073264675,2.768199524629389,0.0002776439271286149,0.0002703952541836833,0.05339353146889914,33.654545454545456,0.033629058984863444,580.3451666006139,-0.11117544257378903,-0.9301369018956497,1.2954750843153742,-0.48445844503092833,-1.2139343279943007,0.7370230514546038,-0.9098474349376787,1.4344590711255383,0.0996029827968251,0.8918750206018461,0,Growing,43.53396117084731,95.69185690328813,48.7909271904759,17.413584468338925
102175,PUMA SE,11,0.4544062830161389,0.3369182892151099,2.4756088939468284,0.9549101070945898,0.4782553307889233,4.3664911104027375,0.391754667762913,0.44903293123096777,1.8487367888979098,641.1227272727273,0.9443535478418251,2086.286099292035,11.48801643807753,0.06960959742550267,0.8188454574312806,0.24325857036152929,41.093636363636364,0.71798175385511,153.36203749772807,-0.1440875849243109,-0.5255386078863746,1.5826041773094435,-0.36684911247222585,1.135509067299486,-1.5342662794275694,1.190465128226818,-0.30700829805477037,0.4122389773231094,-0.2869354600546408,2,Growing,26.20058799763222,99.90367488582828,53.58714272120887,10.480235199052888
102187,PORSCHE AUTOMOBIL HOLDING SE,11,0.043469324947350514,0.4613738140388521,0.20237479646791012,-2.5967060005961065,0.1840660401081278,19.139736166389206,943.7404556838312,0.5175385742396469,1855.2233760041122,-0.6090909090909093,0.001632957439068754,47.66446083243029,,0.014792882609628261,0.5067588575558716,0.06571312742756447,129.72095454545456,0.6552399620234542,506.7688915793082,0.02750792383642541,-1.2876456201498834,1.9454756514982081,15.849142976512297,4.013812450943252,1.7381438762341404,-0.1244747589463885,1.870709023641249,0.044963233979022806,-0.16580880630658257,2,Growing,0.02368306320266021,88.01277365954351,57.5238896259252,0.009473225281064084
102218,DRAEGERWERK AG,11,-0.11521955217883877,0.009666230777484151,3.705933339365996,-0.117216317887084,0.002854383784733833,6.937961603359535,-0.09834571863561763,0.007438239047710455,3.6059557450761877,105.70195454545456,0.7865650653614819,376.8909343290901,3.307194713782824,0.001464221535601337,0.024980732571879546,0.029295721952316743,5.44390909090909,0.012915876081299774,151.47777921775787,0.5508763850594456,0.028728358163188132,-2.0352014187829393,-0.4583161415902474,0.5716235150615834,0.21037701787641827,-0.6419968511703181,1.2238433882865736,-0.12230737386309072,0.04242309063713609,2,Growing,30.32762876817831,95.1219584028873,45.620230734895884,12.131051507271325
102250,HUGO BOSS AG,11,-2.0756674726259097,0.5312332720385037,9.0056516880906,-2.35840137876336,0.20058344252166438,16.652144841586715,-1.0818589936119924,0.30161916401188277,6.229327927340647,148.7824272727273,0.47256702212423907,684.4156536318029,5.293216867008144,0.08041346341102293,0.49521971772900647,0.36135145141688957,10.670572727272724,0.052596247602940224,147.13308786934005,0.3564662618966565,-0.6246036148410242,-0.23076885245460935,-0.13877001065502276,-0.9475856066733396,0.9293317876299519,1.259966421522606,0.27477819209337945,-0.11962158589368493,0.10892661984423838,0,Growing,23.67791633003475,92.59817004787762,48.35278030805981,9.471166532013902
102259,SALZGITTER AG,11,0.24256310963249345,0.06247491873413418,3.0688234326870543,0.4396216932471752,0.0198004414604333,9.879652699773864,0.2299054776241523,0.05404092280611452,3.12743246736783,248.74272727272722,0.31282445209969933,1406.3714629270378,1.0259583404228723,-0.0008074071351662808,0.0016087280574587437,0.06365774714916231,-34.14181818181818,0.2006926252854632,241.00216178173815,0.5543540339266628,0.12661893454995635,-2.0663142175359455,0.013877536635824115,0.20292493437827197,0.40502269063585233,-0.9183567277455633,-0.033473391502554524,0.3620731116816772,0.1307562121550858,1,Growing,36.92501790132934,93.09739272208756,47.411852870646605,14.770007160531737
