dlc,oibdp,at,ppent,gvkey,invt,loc,revt,oancf,isin,cogs,fyear,ebitda,ebit,act,che,sale,conm,emp,lt,rect,seq,xsga,dltt,datadate,ceq,ib,sic,lct,dp,naics,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year
0.0,-40.872,538.764,3.531,231016,0.245,DEU,76.443,-33.27,DE0006632003,1.797,2018.0,-40.872,-40.872,388.905,358.964,76.443,MORPHOSYS AG,0.329,50.391,20.741,488.373,28.31,0.072,2018-12-31,488.372,-56.172,2836.0,45.923,,325414.0,-7.586252979040915,-11.501864353680483,-53.46728935285115,-53.46728935285115,-73.48220242533652,8.468632275765955,8.463297258454368,7.816649609128323,0.0001474282976331,0.0001474282976331,90.64692518431076,9.353074815689244,0.1418858721072677,232.3495440729483,3.685598572874982,99.03411692372094,14.451048793999188,29.698265278118807,0.9202453987730008,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,10,False
2.527,-100.204,496.439,47.813,231016,0.288,DEU,71.755,-80.139,DE0006632003,5.84,2019.0,-100.204,-106.449,303.693,272.504,71.755,MORPHOSYS AG,0.426,101.738,16.841,394.702,59.336,40.042,2019-12-31,394.702,-103.014,2836.0,61.558,6.245,325414.0,-21.442513581729074,-26.09918368794685,-148.35063758623093,-139.6474113302209,,4.933444881250203,4.9287663666785795,4.426784495922545,0.1014486878708494,0.1078509863137253,79.50664633519928,20.493555099418053,0.1445394096757103,168.43896713615024,4.260732735585773,85.66601630548394,-6.1326740185497775,-7.855944346689824,29.483282674772028,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,10,False
3.479,42.306,1659.513,50.742,231016,9.963,DEU,327.698,35.27,DE0006632003,0.845,2020.0,42.306,33.976,1206.816,1090.316,327.698,MORPHOSYS AG,0.615,1038.191,89.835,621.322,159.146,314.724,2020-12-31,621.322,97.891,2836.0,200.459,8.33,325414.0,2.047347625478077,15.75527665204194,10.368082807951224,12.910057430927257,29.87232146671631,6.0202634952783365,5.970562558927262,5.439097271761308,0.5065392823688843,0.5121386334300089,37.44002005407611,62.55997994592391,0.1974663651324213,532.8422764227643,3.647776479100574,100.0609555139183,356.6901261236151,234.2833661336035,44.3661971830986,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,10,False
3.661,-246.288,2556.254,49.592,231016,20.755,DEU,179.612,-481.445,DE0006632003,22.104,2021.0,-246.288,-256.379,1132.97,993.664,179.612,MORPHOSYS AG,0.732,2311.378,85.79,244.876,181.705,322.13,2021-12-31,244.877,-514.46,2836.0,284.538,10.091,325414.0,-10.029480638465506,-210.09000473709145,-142.74046277531568,-137.1222412756386,,3.981788021283625,3.908845215753256,3.492201393135539,1.3154821215635668,1.3304325454515755,9.57948623258878,90.42051376741122,0.0702637531325134,245.37158469945356,2.093623965497144,174.3388526379084,-45.18977839352086,54.03639501468203,19.024390243902435,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,10,False
9.592,-201.902,2396.932,50.987,231016,24.253,DEU,278.267,-366.705,DE0006632003,38.084,2022.0,-201.902,-212.437,1089.041,907.174,278.267,MORPHOSYS AG,0.629,2239.523,112.353,157.41,152.546,329.867,2022-12-31,157.411,-151.058,2836.0,278.347,10.535,325414.0,-8.862871370568712,-95.96467822882916,-76.34286494625667,-72.55693273007579,-54.28527277758411,3.912530043434993,3.8253977948388167,3.2591477544216394,2.0955911314401883,2.1565275395464076,6.567145000358793,93.43289671963996,0.1160929888707731,442.3958664546899,2.476720692816391,147.37228992298765,54.92673095338843,-6.232635723993008,-14.07103825136612,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,10,False
5.267,-230.737,2026.311,14.99,231016,62.068,DEU,238.278,-295.837,DE0006632003,47.819,2023.0,-230.737,-241.272,814.022,679.345,238.278,MORPHOSYS AG,0.524,1977.262,42.655,49.049,147.167,252.818,2023-12-31,49.048,-189.734,2836.0,264.31,10.535,325414.0,-11.906958013848811,-386.82541947848074,-101.2565154987032,-96.83520929334642,-79.62715819337078,3.0798002345730393,2.8449699216828725,2.5702584086867692,5.154396623784379,5.261779037289243,2.420605721431705,97.5793942785683,0.1175920182045105,454.72900763358774,5.586168092837885,65.33996004666818,-14.370730269848742,-15.46230764994584,-16.693163751987285,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,10,True
63.728,206.54,1767.437,115.859,231081,0.0,DEU,1452.923,196.928,DE0005875306,942.435,2014.0,206.54,163.348,536.082,98.237,1452.923,GFK SE,13.38,1062.158,415.1,651.69,296.732,359.215,2014-12-31,651.69,5.859,7310.0,538.348,43.192,5418.0,9.242083310465947,0.8990470929429636,11.242715546522424,14.2154814811246,0.4032560569279996,0.9957908267514692,0.9957908267514692,0.1824786197775416,0.5512053276864766,0.6489941536620172,36.872035608624245,60.09594684280118,0.8220508001133846,108.58916292974588,3.500175861238256,104.28047460188874,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False
208.169,211.976,1842.301,105.241,231081,0.0,DEU,1543.426,170.934,DE0005875306,1021.487,2015.0,211.976,169.317,620.596,134.671,1543.426,GFK SE,13.485,1121.791,425.902,704.58,301.885,256.362,2015-12-31,704.58,36.773,7310.0,681.06,42.659,5418.0,9.190517727559175,5.219137642283346,10.970205244695892,13.734121363771248,2.3825567276954,0.911220744134144,0.911220744134144,0.1977373506005344,0.3638508047347356,0.6593019955150586,38.2445648132417,60.890755636565366,0.8377708094388485,114.4550241008528,3.6238993946964326,100.72023537247657,6.229029342917691,4.235737964068886,0.7847533632286963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False
32.191,159.909,1720.885,92.489,231081,0.0,DEU,1483.814,146.203,DE0005875306,1003.599,2016.0,159.909,117.575,655.424,179.047,1483.814,GFK SE,13.069,1182.716,450.346,522.579,288.739,451.004,2016-12-31,522.579,-140.555,7310.0,516.885,42.334,5418.0,6.832240387939927,-26.89641183438294,7.923836815126424,10.776889825813743,-9.47254844609904,1.2680267370885203,1.2680267370885203,0.3463962003153506,0.8630350626412467,0.9246353182963726,30.36687518340853,68.7271955999384,0.8622389061442224,113.53691942765322,3.29483108543209,110.77957884209206,-3.8623166902721495,-6.590454002901803,-3.084909158324056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
13.363,6.044,224.6,23.797,232623,3.111,DEU,89.496,-3.797,DE0005664809,54.858,2014.0,6.044,-1.678,125.3,89.916,89.496,EVOTEC SE,0.717,66.217,26.146,158.383,17.99,8.186,2014-12-31,158.383,-6.978,8731.0,33.068,7.722,541714.0,-0.7471059661620659,-4.4057758724105485,-1.8749441315812996,6.7533744524894965,-7.796996513810674,3.789161727349704,3.6950828595621146,2.7191242288617397,0.0516848399133745,0.1360562686651976,70.51780943900268,29.482190560997328,0.3984683882457702,124.82008368200836,3.4229327621815955,106.63370429963352,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,11,False
