gvkey,conm,cluster,cluster_name,static_score,dynamic_score,combined_score,cluster_name_enhanced,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
285715,SAF HOLLAND SE,0,Upper-Mid,49.89119964402969,29.174544202405777,37.46120637905534,Upper-Mid (Challenged),9.712542256446024,14.776402534658612,8.859265526999643,26.67567871428594,8.106953148186728,1.6751441630336865,1.0543457703791863,3.270276982327309,0.027706179173058558
284636,WACKER NEUSON SE,0,Upper-Mid,48.137143438115196,30.308446597380595,37.43992533367444,Upper-Mid (Challenged),4.448284175841839,4.681248332888771,4.953241755783257,26.743925902724957,10.890867600340059,1.8045112781954886,0.1980528140837557,1.6595092024539877,-0.05769676592304125
100080,BAYER AG,0,Upper-Mid,39.797034903337284,34.6993416238274,36.73841893563135,Upper-Mid (Challenged),2.85701398285972,-7.997994233421085,6.795262412564906,63.991760717504185,9.84851735828005,1.1896932854379663,1.1125109690359785,3.474050394885295,-0.4288697186165794
100609,CONTINENTAL AG,0,Upper-Mid,67.5472171173901,16.153686060010017,36.71109848296205,Upper-Mid (Challenged),6.065032732781475,8.138805658142289,5.644653692187617,27.50069236385609,2.507616002416979,1.257971827037634,0.2865305553619957,2.575848372935684,-0.938632263498655
100301,DEUTZ AG,0,Upper-Mid,51.15729454838011,26.938862432109893,36.62623527861798,Upper-Mid (Challenged),2.0851898057387275,4.953414317726147,1.9352704416386393,26.69680763080995,2.067596625682307,1.2986244123280515,0.1553249203915556,1.985257695482958,0.21197415125334534
100764,SUEDZUCKER AG,0,Upper-Mid,53.21240710595435,25.245752973194648,36.43241462629853,Upper-Mid (Challenged),3.3382476832350463,-2.3845918679302964,3.2700639570868577,29.492469568805447,3.424798844646173,1.8102268635217862,0.45735249159278507,2.9030877407520634,0.16065444511932503
318434,ZALANDO SE,0,Upper-Mid,54.38494789707148,22.905941160140006,35.49754385491259,Upper-Mid (Challenged),4.908628615087864,9.421078302630097,3.7067864743438164,43.35682194372192,5.046110191534642,1.3662473058994538,0.44370239747870777,2.9954976925674406,-0.1491270322903741
101390,KSB SE & CO KGAA,0,Upper-Mid,41.245998393197766,31.572616046208356,35.441968985004124,Upper-Mid (Challenged),8.480072526936084,10.810068649885583,8.195726898968795,54.18548224034508,4.5022578688414105,1.9715157680569684,0.034324942791762014,2.6250800915331807,0.49095135967911474
100373,HEIDELBERG MATERIALS AG,0,Upper-Mid,43.56274812649782,29.132156316607954,34.9043930405639,Upper-Mid (Challenged),7.680347008313294,9.287812041116007,13.512468222187636,63.83767492536047,9.002023403562887,1.2676099025996392,0.3571686990572262,1.9845974589797613,0.29976659766120317
102175,PUMA SE,0,Upper-Mid,53.55545202286923,22.28603532567024,34.79380200454984,Upper-Mid (Challenged),8.364843290479792,9.95862361636666,6.774259402077757,51.583269065009304,4.897246291339654,1.4995994287505658,0.48321957774870045,2.5252325211302473,0.4544062830161389
