gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,roa_trend,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
103269,7.90256763440292,14.410060644031915,7.011932035466742,50.197628015445574,6.192033116540652,1.3366467092393541,0.049201074461962445,2.47148575276343,KRONES AG,5352.733,4749.469,5352.733,20.0,20106020.0,2010.0,201060.0,-0.23560343091336272,0.5693499621210822,-0.06552180985243751,0.3320190542046784,0.529891270962154,-0.023515657275297065,-0.04797778812311665,-0.023594976950845028,3,Upper-Mid,77.15139542987399,81.59479980761549,90.83142094802074,90.54809530366742,99.36284021703995,92.67124667288911,48.36763624814063,56.23432766383944
103533,7.851335805146843,11.458533968350013,12.85087197651675,77.84760375116312,24.734619101827708,3.2842451500975245,1.2955293898785056,3.077364236058587,SIXT SE,4002.172,6550.656,4002.172,20.0,20304040.0,2030.0,203040.0,0.27199129950962936,0.5905618201675894,0.1235894615680721,1.4773393224831646,0.03491207989715947,0.8827038798691963,-0.3634327763248719,0.7869578677416641,3,Upper-Mid,46.004240464889314,66.56094805944925,53.88361473968229,90.67647159357956,94.75992753665588,97.08017396636484,56.54504162477351,40.78153295720353
100373,7.680347008313294,9.287812041116007,13.512468222187636,63.83767492536047,9.002023403562887,1.2676099025996392,0.3571686990572262,1.9845974589797613,HEIDELBERG MATERIALS AG,21201.9,37301.7,21201.9,15.0,15102010.0,1510.0,151020.0,0.29976659766120317,0.8486170341251837,0.3102783751345707,0.6267504100558736,0.5701597388616736,0.22669692768891475,0.26988659007823623,0.035039969739181075,3,Upper-Mid,71.10860705874276,82.03815364865196,88.5597954283528,95.06869090483569,99.7270497849676,89.27374639288337,50.652402941324,54.35794264371107
327148,7.504732212448502,3.7720218699950294,21.893779438038006,87.13659249634563,28.16306642845542,1.040883573346351,1.034517037609764,2.975976141823604,SPRINGER NATURE AG,1847.1,5388.6,1847.1,50.0,50201040.0,5020.0,502010.0,0.4451246533098013,1.0036428082056577,0.7667812558692375,0.940701736696875,1.0419742860300978,0.49226127200685715,0.32258161788345574,0.2032805402997581,3,Upper-Mid,47.17702121121948,51.77971119632095,81.49157812292039,94.49892213238152,93.71075913816719,96.32803132573584,54.350202634355945,38.676642936990135
326410,7.265469818044684,3.491385746894061,14.53373731070942,36.96912151651939,0.503462628073934,2.5241624187605054,0.06444747840898461,1.3341176605726643,1&1 AG,4064.254,8130.073,4064.254,50.0,50102010.0,5010.0,501020.0,-0.8882759190176527,0.6113313733188354,-0.4431096102049991,0.456466340401785,-0.08670271693294704,0.07070867404418749,-1.0190379722121743,-0.1749340161002028,3,Upper-Mid,55.76622321925442,75.62023104660318,71.21299705263861,90.76675050370777,97.54414340453619,84.92826964552764,47.76584420187081,46.507210547393186
210332,7.212355069788052,11.182831758256489,7.19166082866243,24.42342829620122,5.643944373774746,2.161501799220204,0.3172295164430767,2.2046008672250257,CLAAS KG,4997.427,4983.088,4997.427,20.0,20106015.0,2010.0,201060.0,0.1934319176060208,0.4594570938003098,-0.09272277053334238,0.14264072273648748,-0.533579061704676,0.14005111494545974,-0.09804302430209841,-0.09237598332758994,3,Upper-Mid,56.62314230246397,61.253375860825756,81.3469535349426,94.46992829337162,99.1861441714996,90.79322187915109,48.56465522238983,44.3469249224879
100953,6.898618447785452,16.276268661447272,28.03418097754293,34.29656538969617,-11.381274768824307,1.2700634632819583,0.46822403245744715,3.120225680687185,RWE AKTIENGESELLSCHAFT,24224.0,98440.0,24224.0,55.0,55105010.0,5510.0,551050.0,0.24802652368191275,1.1703624960363626,0.711085235846107,-0.002572612849747215,-0.15949699723599015,-0.07281267045675743,-0.1983807675587013,-0.22393352666186142,3,Upper-Mid,48.76766143813981,50.81681133431033,88.63954658009547,96.75363946450162,93.85117669129986,97.39990300084386,48.75978284237848,39.34579078856815
213037,6.840769104325867,7.69974037442853,7.161953876463089,55.52335148916444,5.9882952833468535,1.6556608541009448,0.7756941149147795,2.5902761550184,INDUS HOLDING AG,1725.8,1806.829,1725.8,20.0,20105010.0,2010.0,201050.0,-0.21267294207758364,0.33590966844749115,-0.07623162566087129,0.5339903919587433,0.45332789182285077,0.10073286030649552,-0.0835392073188712,0.09401097112457309,3,Upper-Mid,80.174643049973,81.23698935839884,97.93455910271844,98.44840348990842,99.29712129869559,93.51960088702447,49.49042252753629,58.16209544065981
315582,6.6206392002043035,10.798791756492461,9.68760863938692,32.34884671872678,10.982858140507195,1.9672676484652087,1.2168544737477862,2.9404203000912488,STABILUS SE,1305.926,1910.888,1305.926,20.0,20106020.0,2010.0,201060.0,0.026571218762340643,0.31842820923937426,0.0857755222251625,0.14760841729561625,-0.2562304350783485,0.1276451458191869,-0.203970355359069,0.00586047837810448,3,Upper-Mid,66.2974347493238,69.38826990872555,87.35509741357048,91.81207195322492,99.08760429230095,96.0656444958908,49.768200585962575,49.57783507679712
19349,6.534652125673153,16.026841448189764,12.720927169761623,43.226656130646646,12.612932964572632,1.3971489080682258,0.80604322721598,2.883348938826467,SIEMENS AG,75930.0,147812.0,75930.0,20.0,20105010.0,2010.0,201050.0,0.053867822909594944,0.560660983874256,0.2001179123855399,0.13844945876111886,0.17330488316607962,0.035566886523772455,0.006055423347000229,0.02278724738486662,3,Upper-Mid,75.76426389664506,78.5316571651924,92.8700777122513,97.97688168114816,98.564466269335,95.6459758528222,49.65826963864598,55.80972515981132
100004,6.475870996902852,5.368676591220314,9.114981579998723,39.72850615904001,8.187796283685062,3.276000352751695,0.13994452588265244,1.4842684121989815,ALTANA AG,3168.838,4460.234,3168.838,15.0,15101050.0,1510.0,151010.0,-0.4294549207168277,0.3930892731591746,-0.6161934699442978,0.7590114795172627,-0.5035604146824073,0.37127792249380265,-0.75348503243829,0.17843416563570585,3,Upper-Mid,49.3870247859695,76.15570782719007,54.04684541124962,91.85729148320644,99.9910906926278,85.91217641949223,49.83575310704799,44.17168062814646
221244,6.405228758169934,13.805697589481372,5.586285521259975,55.715069881349486,10.518093146983068,1.2409048264359428,0.8053323593864135,3.7719138056975896,ADIDAS AG,23683.0,20655.0,23683.0,25.0,25203010.0,2520.0,252030.0,-0.6670031971329508,0.14370357453286572,-0.16833288593146553,0.2814725302053222,0.8220751269519543,-0.14184638032503089,-0.2298439365059364,0.12935725216867536,3,Upper-Mid,67.35424752119819,74.7568906500588,87.69639390982225,97.98790027366266,99.23726882863374,97.66292655093682,48.542350488749115,51.6918671658573
210340,6.1144775894864365,9.119466047446236,8.777417407335033,30.157628916952024,-2.1602116932266826,2.426546687744045,0.0396290305434368,1.7111672291205915,DILLINGER HUTTENWERKE,2287.461,3283.682,2287.461,15.0,15104050.0,1510.0,151040.0,0.6106776189746222,0.5467122898726238,-0.11360757370742319,0.3993571691480394,-0.753714970361468,0.27270753317055785,0.2050011762818534,0.028357723066469206,3,Upper-Mid,51.949957285851966,65.62094186309629,73.80948808483907,90.41108776628107,96.70401875504345,87.420667246857,49.02336596110709,42.94528006358816
326765,6.099229182499186,10.670915984394746,12.560926530429729,42.94146581406788,9.52466127084917,1.247991013566059,0.7393263366119017,2.5306335512940272,SIEMENS HEALTHINEE,22363.0,46055.0,22363.0,35.0,35101010.0,3510.0,351010.0,-0.6954263309959278,0.409054473332388,-0.1122177139190955,0.039820272955564014,0.5003378567569787,-0.1893371134668409,-0.42261921061581254,-0.1540872386121474,3,Upper-Mid,68.20427036426531,77.47918083750466,87.9246734921559,99.01642470750237,99.55793415902359,93.09269059230452,47.61515403012364,52.6791867839573
238442,5.523105033596605,8.753796474207485,9.07059440198981,55.91824703902519,7.7683995223914115,2.131519684970158,0.2579995954345821,1.6619508183633516,CARL ZEISS MEDITEC AG,2066.127,3393.2,2066.127,35.0,35101010.0,3510.0,351010.0,-0.1532711850686681,0.4273128203228072,-0.35535531297375533,0.6726837490352123,0.1743587472179979,0.1960391834352209,-0.08895239858476575,0.19842005016126707,3,Upper-Mid,69.1704015497934,76.16608728277757,82.24666305151767,93.588897819054,99.87279495831204,87.0912282526954,49.5625316413514,52.26026785837827
206703,5.4005535193357765,-14.47107586952604,7.034294621979735,28.11769290724865,2.240841777084957,2.769831483764899,0.4375563164534151,2.409262930257704,SGL CARBON SE,1026.4,1336.9,1026.4,20.0,20104010.0,2010.0,201040.0,0.6382247124150813,0.14945633567835373,-0.15853456191512463,0.5687853707193752,-0.9504221337193551,0.46721157738124464,0.16938007976575856,-0.13157154100182852,3,Upper-Mid,46.11467559174089,59.644841440771316,65.07546455769052,96.28538177096398,98.0960427934337,92.22995152400424,49.41475120899565,40.00337670194702
102218,5.306107935030152,8.103963782040841,4.869381289158914,48.854690763242836,3.1864972944750325,1.926212234869931,0.18690551411914144,2.0150701885809204,DRAEGERWERK AG,3370.88,3093.435,3370.88,35.0,35101010.0,3510.0,351010.0,-0.11521955217883877,0.24222327189201515,-0.41549847943886997,0.49145610495435604,0.12725017320260354,0.07087108787494459,0.07027905381150552,0.11862951826662091,3,Upper-Mid,66.0798467976567,68.97067370196108,88.68078597790833,92.54223421808844,98.3977528971805,89.48268244053193,48.26265612644175,49.48029688126374
102529,5.177639955249784,9.44252269602777,4.477698078984252,56.94385357407866,2.4759666914007754,2.3513525703669496,0.22969416193823686,1.8265367868501912,PAUL HARTMANN AG,2425.8,2097.867,2425.8,35.0,35101020.0,3510.0,351010.0,-0.7493667234037724,0.13750456574721426,-0.751296155804797,0.7174285311894546,0.3473792097597571,0.051715732844996885,-0.4379809832911473,0.27027190728124206,3,Upper-Mid,56.617296345534065,67.54767349519942,75.87395619269137,93.1707677443187,98.17097255317066,88.19780702280707,48.29139445741804,45.47353001168538
