gvkey,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,conm,revt,at,sale,gsector,gsubind,ggroup,gind,roa_trend,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,cashflow_score,structure_score,relative_score,overall_score
101161,1.3448575051725289,11.19709563389701,1.3521674942960675,12.23325728090189,1.1407864716145484,1.002422983731395,0.3052450558899398,2.862902455335817,GELSENWASSER AG,2980.4,2996.6,2980.4,55.0,55103010.0,5510.0,551030.0,-0.22518690042393547,2,Mid,65.5957972223435,74.01441607631929,76.07832507982424,99.38627372947447,93.21349494622697,94.88329428393584,49.92708030161837,50.97982947714871
324977,1.2951601908657124,-7.194244604316546,0.48986432047439493,18.714750717071126,2.2591768990299395,0.6992920898738073,1.7182254196642686,7.0359712230215825,METRO AG,31029.0,11736.0,31029.0,30.0,30101020.0,3010.0,301010.0,-0.3112482730414712,2,Mid,56.0339751525243,78.9381778451419,68.0721215153471,80.46334538892361,89.65783275163253,76.52082548506381,53.75099962313476,46.24756016893046
101148,1.1171562959243373,21.85386781166759,1.6510357270514544,9.619921363040634,,0.18209451540380722,0.0,3.138184407313838,LECHWERKE AG,1175.02,1736.552,1175.02,55.0,55101010.0,5510.0,551010.0,-0.5832397455941732,2,Mid,48.778619543909166,69.6519289765027,56.30860330418469,94.70115182723126,81.58698758343303,96.9083257332192,48.909652432863915,42.911948795587335
220295,0.6613982923919302,-21.64513652158484,0.6453201533328601,28.128549371761192,3.3111756406616033,1.4134184476268248,0.5035133365470221,2.7624686155020184,ELRINGKLINGER AG,1803.136,1759.303,1803.136,25.0,25101010.0,2510.0,251010.0,-0.7067721228011384,2,Mid,65.43609120469924,71.17149281332445,88.45786627807854,97.51064610960898,86.43713546630877,94.15506455878328,50.58946038553762,50.15979965550548
102259,0.6067671256437943,-7.929932003422345,0.6342579182356642,31.602025630012886,-5.59645215098335,1.54984851487952,0.10478677894357635,2.3563065700004504,SALZGITTER AG,10011.7,10465.3,10011.7,15.0,15104050.0,1510.0,151040.0,0.24256310963249345,2,Mid,62.048274753634345,72.39461041974032,92.99745780255368,96.28405926153481,84.87341538732423,91.2666119076071,50.19797580538223,48.92663791155528
320448,0.4988628860685203,-3.9951937518774407,0.4795824811340715,22.103110233443825,0.6276888356019465,1.6124161073825503,0.36602583358365876,2.0473115049564434,COVESTRO AG,14179.0,13631.0,14179.0,15.0,15101050.0,1510.0,151010.0,-0.9886377981013741,2,Mid,70.34275378106139,85.50964432073336,95.15655133241114,99.65470113201445,94.89162369537594,89.12866499689707,49.25463359443861,55.20450048977268
271763,0.23684481515806816,-3.8595726122982987,0.36129437637448947,29.186302230600063,2.9531888155827835,1.9452904681331078,0.5294374182293938,2.1175316179677277,LANXESS AG,6366.0,9711.0,6366.0,15.0,15101020.0,1510.0,151010.0,-0.5666661696352858,2,Mid,72.48197278952931,78.3154119224246,93.01033956074053,97.11157120152235,87.51991400735764,89.61008011385447,50.560936659720156,54.367028620448885
325735,0.09875792912219394,-15.296624425255132,0.03393679923772728,66.04884288567216,1.6589873781212066,0.9091281630980432,0.7545138499495345,2.95245037568689,HELLOFRESH SE,7661.3,2632.7,7661.3,30.0,30101030.0,3010.0,301010.0,8.347219078789843,2,Mid,1.4819387116044602,31.31934068917357,73.51876171903918,93.71468109107262,91.54879515519295,95.53734036801482,59.22754208779675,16.22811173158376
315541,-0.03268346466552724,0.0,-12.805221109485764,4.928547316304721,,0.803135409345109,0.24864300122048197,1.6490396933687148,OSRAM LICHT AG,8.887,3481.883,8.887,20.0,20104010.0,2010.0,201040.0,-1.0006406952328004,2,Mid,45.25687673359863,54.8050395307879,70.7151589681194,98.5003324679743,81.58698758343303,86.44671941841462,42.60732194657107,38.91379184639447
102187,-0.07236058915524847,-57.01549504386465,,,,16.126666666666665,0.21211689643386122,1.2202631878774068,PORSCHE AUTOMOBIL HOLDING SE,0.0,42841.0,0.0,25.0,25102010.0,2510.0,251020.0,0.015974187631499267,2,Mid,0.48329955231572674,49.087182293729484,0.5120378637152945,97.93281900279804,81.58698758343303,83.64949684516444,55.862958287881256,19.804038179951995
