gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,proximity_score,trends_score,relative_score,overall_score,cluster_name_enriched
205865,PROSIEBENSAT.1 MEDIA SE,11,-1.1919391867484306,0.766312665456209,4.30577266473192,-5.218874886824196,0.8045603525250226,18.39914202737504,-1.8838439217292735,0.8372530217792904,6.510533177665406,86.72,0.41222448837739845,427.122426756096,3.141536230661135,-0.16483070309245945,0.3925831917575184,0.8319021761290799,-40.05181818181818,0.6942554174473502,152.00665329066388,0,Upper-Mid,16.00829246483845,79.30647930955243,51.742668189792276,6.403316985935381,Upper-Mid (Strongly Growing)
205934,FREENET AG,11,-0.21041472686603363,0.06671429264635152,2.5761235621638434,-0.6994767420708168,0.2461055157784995,4.458744687650865,0.23416359208551413,0.09669018461985812,2.381377121033285,-84.33715454545451,0.6427063409780962,332.66924449445634,-1.9724543225140723,-0.04080540758760023,0.0695104632349897,0.4894323018709062,4.9441181818181805,0.5429819831493334,21.217593940597943,0,Upper-Mid,31.32632754256699,84.57660123328637,47.36648191670727,12.530531017026796,Upper-Mid (Strongly Growing)
208821,SARTORIUS AG,11,-0.4363405997698414,0.13153351940768196,3.8045859868338976,-0.013280480212993176,2.9066692539388865e-05,7.78961459495541,0.2536720501323209,0.03209389115285712,4.477766378827056,318.66903636363634,0.8501790332243552,1092.910684936089,14.262758642857554,0.09825268843331127,0.4263671726770279,0.4758308139564675,50.37557272727273,0.7286756403319826,186.61771654493654,0,Upper-Mid,24.61759160857696,90.25312224150139,49.71117841166466,9.847036643430783,Upper-Mid (Strongly Growing)
209440,VOSSLOH AG,11,0.6731608866907794,0.4399015798368597,3.2095275871686733,3.800381788775559,0.32825727493087176,20.97587316955589,0.7992154785469279,0.3953218819008001,4.0196520322030755,-1.0900000000000174,0.0004726299359424624,158.54986805783543,-0.8988578956176108,-0.012455630341486725,0.031648222720312105,0.2214068471758131,9.419090909090908,0.35168829862653606,50.226166174565236,0,Upper-Mid,27.074358980221998,85.11950619839534,48.47909902037231,10.8297435920888,Upper-Mid (Strongly Growing)
210334,COMPUGROUP MEDICAL SE & CO,11,-0.44867869769793467,0.1786045359189555,3.3572927185241266,-1.4124767186466198,0.3026729379334409,8.118849708591778,-0.41721603985407274,0.146413020556825,3.4480308774242645,80.72827272727271,0.9423419614925508,262.9791971915662,8.502414372921185,-0.07299000410492404,0.4742028087777693,0.33518249318920196,10.477045454545454,0.664939909259246,40.63007539225303,0,Upper-Mid,31.707497197311984,85.24836605611308,49.93648029153957,12.682998878924794,Upper-Mid (Strongly Growing)
210359,EWE-ENERGIEVERSORGUNG WESER,11,0.13089763562477957,0.02425102583658624,2.658072026129497,0.049768038969027505,0.0002433618718375425,10.08844567750631,0.646014588903901,0.16969972165354902,4.959087380645866,105.59,0.0528152422457522,1452.9248502575306,0.7579557136619064,-0.029821998139550276,0.2199630313481707,0.201076765552558,-35.28181818181818,0.07819852952575351,398.98049456248145,0,Upper-Mid,23.61834341692088,79.84923195039957,46.13770841568649,9.447337366768352,Upper-Mid (Strongly Growing)
212782,FRESENIUS MEDICAL CARE AG,11,-0.5856538257175631,0.854743764494326,2.003194015091229,-0.9202199467205865,0.5543745161155664,3.9083190883658587,-0.6851539358300058,0.8139810324935125,2.401491281790881,267.15880909090896,0.618203871681743,1074.4931187480488,1.826673001114032,-0.001137819285671499,0.0005530160315018531,0.15300457961309594,104.41930909090907,0.2917255854864119,611.3551221486075,0,Upper-Mid,22.553192118606745,97.50396853584265,50.31145373536835,9.021276847442698,Upper-Mid (Strongly Growing)
213034,GRAMMER AG,11,-0.5374664283495462,0.3978342586011958,2.6946369011698192,-3.4429085568095323,0.5481767764358131,14.705004837831858,-0.3147518253336986,0.29817556910730064,1.822771497590911,70.62177272727274,0.6817354742023467,270.47720397655553,3.473071830262109,0.07565873681573036,0.25611230736114476,0.47276341566520097,-2.2409090909090907,0.04240609855026965,34.412013080193454,0,Upper-Mid,36.417965852048816,83.71214561818807,48.57621027917844,14.567186340819527,Upper-Mid (Strongly Growing)
214700,STADA ARZNEIMITTEL AG,10,0.2313476955203697,0.23057310783828008,1.383846199607189,2.3697537627162335,0.6116287680777603,8.703345888815559,0.31611864846724946,0.23187704907908258,1.8855940902193786,210.5816060606061,0.9107708324264112,633.7863055518083,6.821598959572661,0.10788337895532858,0.16796739931094237,0.7560822030369645,41.41537575757577,0.6989049939724864,142.29168047363135,0,Upper-Mid,27.40408327302848,89.10419181742715,50.289084211074844,10.961633309211393,Upper-Mid (Strongly Growing)
216524,ENBW ENERGIE BADEN,11,0.5360248860854715,0.3785240173930115,2.7551054941503157,5.008379504867177,0.11672565276258512,46.35686670731816,0.9007487912192431,0.34690540748176457,4.836132077681602,2668.6018181818176,0.5051905947970615,11872.881937834305,5.18167856347973,-0.11361024967402167,0.14022682028814357,0.959404985907236,-138.39090909090908,0.037537879833245434,2258.7735438317072,0,Upper-Mid,25.685549789231715,68.90362993664537,50.514560503038155,10.274219915692687,Upper-Mid (Strongly Growing)
218000,JENOPTIK AG,11,-0.017698382597963393,0.0013249483160829262,1.537567216498217,-0.3517575874763533,0.20842888080922123,2.4364893968856007,0.4407378857090055,0.7604788523854166,1.5982209276385975,45.849636363636364,0.8202155557987849,160.0928347786717,6.575469028870784,0.028890056649850653,0.34251147176486274,0.15610285012342226,3.434872727272728,0.3293767484344913,18.926232930132187,0,Upper-Mid,30.95001500836717,84.39428111165562,49.17549460358639,12.38000600334687,Upper-Mid (Strongly Growing)
