gvkey,conm,cluster,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
102175,PUMA SE,3,46.97070987556481,64.9473910022448,68.8637755929696,87.7091959135073,63.24739875539749,88.01394988312357,95.41790988539131,52.00321665061769,50.03579155533524
102187,PORSCHE AUTOMOBIL HOLDING SE,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
102218,DRAEGERWERK AG,1,59.455983705149904,79.02692574798303,80.06199110380628,83.68934383110907,69.8444238681879,93.27677687860589,98.90684578497478,48.84836760572618,58.43337659499566
102250,HUGO BOSS AG,3,35.68265081289576,41.00025071290236,75.11210171458269,92.83033796201391,70.24050822921114,79.36513556828584,96.36317785274767,54.3524437524465,42.29222049832184
102259,SALZGITTER AG,2,54.88311525607824,81.57617361669566,75.8065069768067,73.96594024132989,77.96843256367117,78.35867097630653,84.23830233087632,50.72047527439842,57.36033973445409
102365,KOENIG & BAUER AG,2,51.27020806153083,66.87811635452027,72.98842777755215,77.8086968820699,74.5904005461357,82.6997648411509,98.1876700871494,48.42263900576152,52.85313626564374
102529,PAUL HARTMANN AG,1,56.011473837945836,67.86595464698603,92.45634598809734,96.56619803895474,66.33718121358197,90.54783460407388,99.61817058078772,49.82988007186784,55.58497745050831
102926,KWS SAAT SE & CO KGAA,1,43.79671557551651,48.7899922656276,69.66647402873278,89.58148858687544,87.28701426671267,93.09240798301722,98.4081491911327,54.62805687602335,49.327885682026576
103176,THYSSENKRUPP AG,2,45.31350713217357,75.40083199414693,50.682182868847015,91.56931291190482,82.17166053015922,85.32159013458495,89.03493285395638,49.909401016203894,54.688249622413174
103200,FUCHS SE,1,26.71221222840034,34.69895332796163,88.53978180005481,62.34040607396483,54.58639773739571,88.10746154965227,96.1514401907979,52.727108379023974,32.0466758249583
103255,BERTELSMANN SE & CO KGAA,3,64.43868821259645,76.11577224834197,96.15177483657986,84.10736765572273,77.91853338303811,86.22235500395114,94.74395612336757,48.55536290822153,61.09714650773496
103269,KRONES AG,3,53.406866222456564,68.43288253257563,76.6839496756269,83.46431344507843,69.64926494024283,89.24442124774116,95.01570525685247,51.63704369762033,53.84314408104202
103487,SAP SE,0,28.224029602147084,73.46095743980729,71.37584157620218,40.014561471391346,51.7583805830645,76.32794674525202,80.74178171011252,50.381088034798914,37.7470165634191
103533,SIXT SE,1,20.45275852623267,42.639009453838,40.07945640765402,50.861353328479154,85.41082101025607,50.55279687137424,90.984575198543,60.0391899554328,34.606663785647
104357,KABEL DEUTSCHLAND HOLDING AG,0,10.164975975716201,27.308441243605486,36.96328224401901,21.57828493324922,88.4130720103974,66.18204450049858,88.67195764468143,46.09924901805722,24.947467933892113
104364,TELE COLUMBUS AG,4,5.7990469009727015,73.39430587786403,76.91136507983599,9.799135616606234,31.858489975225368,36.69322800244654,61.636077574168034,52.12316856693049,22.757166993906313
132740,INFINEON TECHNOLOGIES AG,1,44.559386298820485,54.68066717360859,63.54003843815772,88.87699354984422,78.4018717813262,90.49726679817441,98.34769991776656,49.71527885172813,49.40786807643326
