gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
245839,0,Mid,4,High Performers,1,Growing,FRAPORT AG,Improving,⭐
248166,0,Mid,0,Lower-Mid,2,Growing,MAINOVA AG,Declining,⚠
269104,0,Mid,0,Lower-Mid,2,Growing,BAUER AG,Declining,⚠
269835,0,Mid,1,Mid,2,Growing,BRENNTAG SE,Consistent,✓
270249,0,Mid,2,Upper-Mid,1,Growing,DIEBOLD NIXDORF AG,Improving,⭐
271763,0,Mid,0,Lower-Mid,1,Growing,LANXESS AG,Consistent,✓
273099,0,Mid,0,Lower-Mid,1,Growing,MTU AERO ENGINES AG,Consistent,✓
276585,0,Mid,0,Lower-Mid,1,Growing,WACKER CHEMIE AG,Consistent,✓
278310,0,Mid,1,Mid,1,Growing,KLOCKNER & CO SE,Consistent,✓
281772,3,Upper-Mid,1,Mid,2,Growing,SYMRISE AG,Consistent,✓
284636,0,Mid,1,Mid,2,Growing,WACKER NEUSON SE,Consistent,✓
284944,0,Mid,0,Lower-Mid,2,Growing,GERRESHEIMER GROUP,Declining,⚠
285715,3,Upper-Mid,1,Mid,2,Growing,SAF HOLLAND SE,Consistent,✓
287162,0,Mid,0,Lower-Mid,2,Growing,HAMBURGER HAFEN UND LOGISTIK,Declining,⚠
289333,0,Mid,0,Lower-Mid,2,Growing,SMA SOLAR TECHNOLOGY AG,Declining,⚠
295079,3,Upper-Mid,2,Upper-Mid,2,Growing,STROEER SE & CO KGAA,Consistent,✓
295421,0,Mid,0,Lower-Mid,0,Growing,EVONIK INDUSTRIES AG,Consistent,✓
297185,0,Mid,0,Lower-Mid,2,Growing,KION GROUP AG,Declining,⚠
297222,3,Upper-Mid,1,Mid,0,Growing,NORMA GROUP SE,Improving,⭐
313972,0,Mid,2,Upper-Mid,0,Growing,TELEFONICA DEUTSCHLAND,Improving,⭐
315541,0,Mid,2,Upper-Mid,1,Growing,OSRAM LICHT AG,Improving,⭐
315582,3,Upper-Mid,0,Lower-Mid,2,Growing,STABILUS SE,Declining,⚠
317079,3,Upper-Mid,2,Upper-Mid,1,Growing,SCOUT24 SE,Improving,⭐
318434,0,Mid,1,Mid,2,Growing,ZALANDO SE,Consistent,✓
318452,2,Top Tier,4,High Performers,1,Growing,ROCKET INTERNET SE,Improving,⭐
318659,0,Mid,0,Lower-Mid,1,Growing,HELLA GMBH & CO. KGAA,Consistent,✓
319665,4,Lower-Mid,0,Lower-Mid,0,Growing,ALLANE SE,Volatile,⚠
319865,0,Mid,4,High Performers,2,Growing,SILTRONIC AG,Improving,⭐
320124,0,Mid,0,Lower-Mid,0,Growing,SCHAEFFLER AG,Consistent,✓
320448,0,Mid,0,Lower-Mid,1,Growing,COVESTRO AG,Consistent,✓
321632,0,Mid,1,Mid,4,Growing,UNIPER SE,Declining,⚠
322597,1,Strong Performers,0,Lower-Mid,2,Growing,INNOGY SE,Declining,⚠
324859,0,Mid,0,Lower-Mid,2,Growing,DELIVERY HERO SE,Declining,⚠
324977,0,Mid,2,Upper-Mid,0,Growing,METRO AG,Improving,⭐
325735,2,Top Tier,4,High Performers,1,Growing,HELLOFRESH SE,Improving,⭐
326410,3,Upper-Mid,1,Mid,2,Growing,1&1 AG,Consistent,✓
326577,3,Upper-Mid,2,Upper-Mid,2,Growing,DERMAPHARM HOLDING,Consistent,✓
326765,3,Upper-Mid,0,Lower-Mid,0,Growing,SIEMENS HEALTHINEE,Consistent,✓
327148,3,Upper-Mid,2,Upper-Mid,3,Declining (Volatile),SPRINGER NATURE AG,Consistent,✓
328745,3,Upper-Mid,1,Mid,0,Growing,KNORR-BREMSE AKTIE,Improving,⭐
329260,3,Upper-Mid,4,High Performers,2,Growing,ENCAVIS AG,Improving,⭐
332311,0,Mid,2,Upper-Mid,2,Growing,TRATON SE,Consistent,✓
333885,2,Top Tier,2,Upper-Mid,2,Growing,TEAMVIEWER SE,Consistent,✓
340115,0,Mid,0,Lower-Mid,2,Growing,HENSOLDT AG,Declining,⚠
340153,0,Mid,0,Lower-Mid,1,Growing,SIEMENS ENERGY AG,Consistent,✓
346413,2,Top Tier,1,Mid,2,Growing,AUTO1 GROUP SE,Consistent,✓
347562,3,Upper-Mid,0,Lower-Mid,2,Growing,SYNLAB AG,Declining,⚠
350278,0,Mid,0,Lower-Mid,1,Growing,VITESCO TECHNOLOGIES GROUP,Consistent,✓
351590,0,Mid,0,Lower-Mid,2,Growing,DAIMLER TRUCK HOLDING AG,Declining,⚠
354519,3,Upper-Mid,1,Mid,2,Growing,DR ING  H C F PORSCHE AG,Consistent,✓
355804,2,Top Tier,2,Upper-Mid,1,Growing,IONOS GROUP SE,Improving,⭐
358679,3,Upper-Mid,1,Mid,0,Growing,SCHOTT PHARMA AG & CO KGAA,Improving,⭐
360887,2,Top Tier,2,Upper-Mid,2,Growing,DOUGLAS AG,Consistent,✓
